id,vendor_part_number,style_code,product_size_description,qty,override_qty,reset_qty,cost,meg_cost,mes_cost,2ht_cost,turbine_sku
1,WMQNCB00,1510-FTG,XXL,11,10,0,9.85,10.75,10.75,0,1510-FTG_Black_2XL
2,WMQNCB00,1510-FTG,L,131,10,0,8,8.74,8.74,0,1510-FTG_Black_L
3,WMQNCB00,1510-FTG,M,10,10,0,8,8.74,8.74,0,1510-FTG_Black_M
4,WMQNCB00,1510-FTG,S,17,10,0,8,8.74,8.74,0,1510-FTG_Black_S
5,WMQNCB00,1510-FTG,XL,21,10,0,8,8.74,8.74,0,1510-FTG_Black_XL
6,WMQNCB00,1510-FTG,XS,10,10,0,8,8.74,8.74,0,1510-FTG_Black_XS
7,WMQNCF00,1510-FTG,XXL,34,0,0,9.85,10.75,10.75,0,1510-FTG_Green_2XL
8,WMQNCG00,1510-FTG,XXL,34,0,0,9.85,10.75,10.75,0,1510-FTG_Green_2XL
9,WMQNCF00,1510-FTG,L,66,0,0,8,8.74,8.74,0,1510-FTG_Green_L
10,WMQNCG00,1510-FTG,L,66,0,0,8,8.74,8.74,0,1510-FTG_Green_L
11,WMQNCF00,1510-FTG,M,30,0,0,8,8.74,8.74,0,1510-FTG_Green_M
12,WMQNCG00,1510-FTG,M,30,0,0,8,8.74,8.74,0,1510-FTG_Green_M
13,WMQNCF00,1510-FTG,S,18,0,0,8,8.74,8.74,0,1510-FTG_Green_S
14,WMQNCG00,1510-FTG,S,18,0,0,8,8.74,8.74,0,1510-FTG_Green_S
15,WMQNCF00,1510-FTG,XL,35,0,0,8,8.74,8.74,0,1510-FTG_Green_XL
16,WMQNCG00,1510-FTG,XL,35,0,0,8,8.74,8.74,0,1510-FTG_Green_XL
17,WMQNCF00,1510-FTG,XS,17,0,0,8,8.74,8.74,0,1510-FTG_Green_XS
18,WMQNCG00,1510-FTG,XS,17,0,0,8,8.74,8.74,0,1510-FTG_Green_XS
19,WMQNCC00,1510-FTG,XXL,17,10,0,9.85,10.75,10.75,0,1510-FTG_Heather_Grey_2XL
20,WMQNCC00,1510-FTG,L,31,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_L
21,WMQNCC00,1510-FTG,M,48,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_M
22,WMQNCC00,1510-FTG,S,39,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_S
23,WMQNCC00,1510-FTG,XL,28,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_XL
24,WMQNCC00,1510-FTG,XS,14,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_XS
25,WMQNCN00,1510-FTG,XXL,4,0,0,9.85,10.75,10.75,0,1510-FTG_Navy_2XL
26,WMQNCN00,1510-FTG,L,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_L
27,WMQNCN00,1510-FTG,M,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_M
28,WMQNCN00,1510-FTG,S,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_S
29,WMQNCN00,1510-FTG,XL,0,0,0,8,8.74,8.74,0,1510-FTG_Navy_XL
30,WMQNCN00,1510-FTG,XS,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_XS
31,WMQNCP00,1510-FTG,XXL,5,0,0,9.85,10.75,10.75,0,1510-FTG_Purple_2XL
32,WMQNCP00,1510-FTG,L,8,0,0,8,8.74,8.74,0,1510-FTG_Purple_L
33,WMQNCP00,1510-FTG,M,5,0,0,8,8.74,8.74,0,1510-FTG_Purple_M
34,WMQNCP00,1510-FTG,S,5,0,0,8,8.74,8.74,0,1510-FTG_Purple_S
35,WMQNCP00,1510-FTG,XL,4,0,0,8,8.74,8.74,0,1510-FTG_Purple_XL
36,WMQNCP00,1510-FTG,XS,20,0,0,8,8.74,8.74,0,1510-FTG_Purple_XS
