id,vendor_part_number,style_code,product_size_description,qty,override_qty,reset_qty,cost,meg_cost,mes_cost,2ht_cost,turbine_sku
,WMQNCB00,1510-FTG,XXL,10,10,0,9.85,10.75,10.75,0,1510-FTG_Black_2XL
,WMQNCB00,1510-FTG,L,115,10,0,8,8.74,8.74,0,1510-FTG_Black_L
,WMQNCB00,1510-FTG,M,63,10,0,8,8.74,8.74,0,1510-FTG_Black_M
,WMQNCB00,1510-FTG,S,10,10,0,8,8.74,8.74,0,1510-FTG_Black_S
,WMQNCB00,1510-FTG,XL,10,10,0,8,8.74,8.74,0,1510-FTG_Black_XL
,WMQNCB00,1510-FTG,XS,10,10,0,8,8.74,8.74,0,1510-FTG_Black_XS
,WMQNCF00,1510-FTG,XXL,34,0,0,9.85,10.75,10.75,0,1510-FTG_Green_2XL
,WMQNCG00,1510-FTG,XXL,34,0,0,9.85,10.75,10.75,0,1510-FTG_Green_2XL
,WMQNCF00,1510-FTG,L,65,0,0,8,8.74,8.74,0,1510-FTG_Green_L
,WMQNCG00,1510-FTG,L,65,0,0,8,8.74,8.74,0,1510-FTG_Green_L
,WMQNCF00,1510-FTG,M,30,0,0,8,8.74,8.74,0,1510-FTG_Green_M
,WMQNCG00,1510-FTG,M,30,0,0,8,8.74,8.74,0,1510-FTG_Green_M
,WMQNCF00,1510-FTG,S,18,0,0,8,8.74,8.74,0,1510-FTG_Green_S
,WMQNCG00,1510-FTG,S,18,0,0,8,8.74,8.74,0,1510-FTG_Green_S
,WMQNCF00,1510-FTG,XL,35,0,0,8,8.74,8.74,0,1510-FTG_Green_XL
,WMQNCG00,1510-FTG,XL,35,0,0,8,8.74,8.74,0,1510-FTG_Green_XL
,WMQNCF00,1510-FTG,XS,17,0,0,8,8.74,8.74,0,1510-FTG_Green_XS
,WMQNCG00,1510-FTG,XS,17,0,0,8,8.74,8.74,0,1510-FTG_Green_XS
,WMQNCC00,1510-FTG,XXL,12,10,0,9.85,10.75,10.75,0,1510-FTG_Heather_Grey_2XL
,WMQNCC00,1510-FTG,L,25,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_L
,WMQNCC00,1510-FTG,M,37,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_M
,WMQNCC00,1510-FTG,S,31,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_S
,WMQNCC00,1510-FTG,XL,66,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_XL
,WMQNCC00,1510-FTG,XS,11,10,0,8,8.74,8.74,0,1510-FTG_Heather_Grey_XS
,WMQNCN00,1510-FTG,XXL,14,0,0,9.85,10.75,10.75,0,1510-FTG_Navy_2XL
,WMQNCN00,1510-FTG,L,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_L
,WMQNCN00,1510-FTG,M,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_M
,WMQNCN00,1510-FTG,S,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_S
,WMQNCN00,1510-FTG,XL,0,0,0,8,8.74,8.74,0,1510-FTG_Navy_XL
,WMQNCN00,1510-FTG,XS,5,0,0,8,8.74,8.74,0,1510-FTG_Navy_XS
,WMQNCP00,1510-FTG,XXL,5,0,0,9.85,10.75,10.75,0,1510-FTG_Purple_2XL
,WMQNCP00,1510-FTG,L,7,0,0,8,8.74,8.74,0,1510-FTG_Purple_L
,WMQNCP00,1510-FTG,M,5,0,0,8,8.74,8.74,0,1510-FTG_Purple_M
,WMQNCP00,1510-FTG,S,5,0,0,8,8.74,8.74,0,1510-FTG_Purple_S
,WMQNCP00,1510-FTG,XL,3,0,0,8,8.74,8.74,0,1510-FTG_Purple_XL
,WMQNCP00,1510-FTG,XS,19,0,0,8,8.74,8.74,0,1510-FTG_Purple_XS
,WMQNCR00,1510-FTG,XXL,5,0,0,9.85,10.75,10.75,0,1510-FTG_Red_2XL
,WMQNCR00,1510-FTG,L,15,0,0,8,8.74,8.74,0,1510-FTG_Red_L
,WMQNCR00,1510-FTG,M,6,0,0,8,8.74,8.74,0,1510-FTG_Red_M
,WMQNCR00,1510-FTG,S,5,0,0,8,8.74,8.74,0,1510-FTG_Red_S
,WMQNCR00,1510-FTG,XL,11,0,0,8,8.74,8.74,0,1510-FTG_Red_XL
,WMQNCR00,1510-FTG,XS,5,0,0,8,8.74,8.74,0,1510-FTG_Red_XS
,WMQNCA00,1510-FTG,XXL,51,6,0,9.85,10.75,10.75,0,1510-FTG_Royal_2XL
,WMQNCA00,1510-FTG,L,15,6,0,8,8.74,8.74,0,1510-FTG_Royal_L
,WMQNCA00,1510-FTG,M,7,6,0,8,8.74,8.74,0,1510-FTG_Royal_M
,WMQNCA00,1510-FTG,S,6,6,0,8,8.74,8.74,0,1510-FTG_Royal_S
,WMQNCA00,1510-FTG,XL,12,6,0,8,8.74,8.74,0,1510-FTG_Royal_XL
,WMQNCA00,1510-FTG,XS,6,6,0,8,8.74,8.74,0,1510-FTG_Royal_XS
,WMQNCW00,1510-FTG,XXL,15,10,0,9.85,10.75,10.75,0,1510-FTG_White_2XL
,WMQNCW00,1510-FTG,L,10,10,0,8,8.74,8.74,0,1510-FTG_White_L
,WMQNCW00,1510-FTG,M,10,10,0,8,8.74,8.74,0,1510-FTG_White_M
,WMQNCW00,1510-FTG,S,10,10,0,8,8.74,8.74,0,1510-FTG_White_S
,WMQNCW00,1510-FTG,XL,64,10,0,8,8.74,8.74,0,1510-FTG_White_XL
,WMQNCW00,1510-FTG,XS,11,10,0,8,8.74,8.74,0,1510-FTG_White_XS
,WMQNVB00,1540-FTG,XXL,30,10,0,11.2,11.64,11.64,0,1540-FTG_Black_2XL
,WMQNVB00,1540-FTG,L,82,10,0,8.85,10.09,10.09,0,1540-FTG_Black_L
,WMQNVB00,1540-FTG,M,81,10,0,8.85,10.09,10.09,0,1540-FTG_Black_M
,WMQNVB00,1540-FTG,S,10,10,0,8.85,10.09,10.09,0,1540-FTG_Black_S
,WMQNVB00,1540-FTG,XL,72,10,0,8.85,10.09,10.09,0,1540-FTG_Black_XL
,WMQNVB00,1540-FTG,XS,60,10,0,8.85,10.09,10.09,0,1540-FTG_Black_XS
,WMQNVF00,1540-FTG,XXL,34,0,0,11.2,11.64,11.64,0,1540-FTG_Green_2XL
,WMQNVG00,1540-FTG,XXL,34,0,0,11.2,11.64,11.64,0,1540-FTG_Green_2XL
,WMQNVF00,1540-FTG,L,16,0,0,8.85,10.09,10.09,0,1540-FTG_Green_L
,WMQNVG00,1540-FTG,L,16,0,0,8.85,10.09,10.09,0,1540-FTG_Green_L
,WMQNVF00,1540-FTG,M,31,0,0,8.85,10.09,10.09,0,1540-FTG_Green_M
,WMQNVG00,1540-FTG,M,31,0,0,8.85,10.09,10.09,0,1540-FTG_Green_M
,WMQNVF00,1540-FTG,S,22,0,0,8.85,10.09,10.09,0,1540-FTG_Green_S
,WMQNVG00,1540-FTG,S,22,0,0,8.85,10.09,10.09,0,1540-FTG_Green_S
,WMQNVF00,1540-FTG,XL,31,0,0,8.85,10.09,10.09,0,1540-FTG_Green_XL
,WMQNVG00,1540-FTG,XL,31,0,0,8.85,10.09,10.09,0,1540-FTG_Green_XL
,WMQNVF00,1540-FTG,XS,15,0,0,8.85,10.09,10.09,0,1540-FTG_Green_XS
,WMQNVG00,1540-FTG,XS,15,0,0,8.85,10.09,10.09,0,1540-FTG_Green_XS
,WMQNVC00,1540-FTG,XXL,29,10,0,11.2,11.64,11.64,0,1540-FTG_Heather_Grey_2XL
,WMQNVC00,1540-FTG,L,35,10,0,8.85,10.09,10.09,0,1540-FTG_Heather_Grey_L
,WMQNVC00,1540-FTG,M,54,10,0,8.85,10.09,10.09,0,1540-FTG_Heather_Grey_M
,WMQNVC00,1540-FTG,S,23,10,0,8.85,10.09,10.09,0,1540-FTG_Heather_Grey_S
,WMQNVC00,1540-FTG,XL,51,10,0,8.85,10.09,10.09,0,1540-FTG_Heather_Grey_XL
,WMQNVC00,1540-FTG,XS,11,10,0,8.85,10.09,10.09,0,1540-FTG_Heather_Grey_XS
,WMQNVN00,1540-FTG,XXL,17,10,0,11.2,11.64,11.64,0,1540-FTG_Navy_2XL
,WMQNVN00,1540-FTG,L,29,10,0,8.85,10.09,10.09,0,1540-FTG_Navy_L
,WMQNVN00,1540-FTG,M,20,10,0,8.85,10.09,10.09,0,1540-FTG_Navy_M
,WMQNVN00,1540-FTG,S,12,10,0,8.85,10.09,10.09,0,1540-FTG_Navy_S
,WMQNVN00,1540-FTG,XL,21,10,0,8.85,10.09,10.09,0,1540-FTG_Navy_XL
,WMQNVN00,1540-FTG,XS,21,10,0,8.85,10.09,10.09,0,1540-FTG_Navy_XS
,WMQNVP00,1540-FTG,XXL,10,0,0,11.2,11.64,11.64,0,1540-FTG_Purple_2XL
,WMQNVP00,1540-FTG,L,13,0,0,8.85,10.09,10.09,0,1540-FTG_Purple_L
,WMQNVP00,1540-FTG,M,7,0,0,8.85,10.09,10.09,0,1540-FTG_Purple_M
,WMQNVP00,1540-FTG,S,26,0,0,8.85,10.09,10.09,0,1540-FTG_Purple_S
,WMQNVP00,1540-FTG,XL,43,0,0,8.85,10.09,10.09,0,1540-FTG_Purple_XL
,WMQNVP00,1540-FTG,XS,36,0,0,8.85,10.09,10.09,0,1540-FTG_Purple_XS
,WMQNVR00,1540-FTG,XXL,20,0,0,11.2,11.64,11.64,0,1540-FTG_Red_2XL
,WMQNVR00,1540-FTG,L,14,0,0,8.85,10.09,10.09,0,1540-FTG_Red_L
,WMQNVR00,1540-FTG,M,16,0,0,8.85,10.09,10.09,0,1540-FTG_Red_M
,WMQNVR00,1540-FTG,S,21,0,0,8.85,10.09,10.09,0,1540-FTG_Red_S
